Instituição,Faculdade,Curso,Grau,Informações adicionais do curso (ex. em parceria com),Duração / ETCS,vagas_ano_das_vagas,vagas_fase_1,vagas_fase_2,vagas_fase_3,nota_do_ultimo_colocado_ano_ultimo_classificado,nota_do_ultimo_colocado_notas_fase_1,nota_do_ultimo_colocado_notas_fase_2,nota_do_ultimo_colocado_notas_fase_3,nota_do_ultimo_colocado_notas,provas_de_ingresso_ano_das_provas,provas_de_ingresso_expressao,provas_de_ingresso_provas,classificacao_minima_ano_da_classificacao,classificacao_minima_nota_de_candidatura,classificacao_minima_nota_prova_de_ingresso,formula_de_calculo_ano_da_formula,formula_de_calculo_percentagem_secundario,formula_de_calculo_nota_prova_de_ingresso,Pré-requisitos,Descrição,Saídas profissionais,Certificacao,Destaque,Novo,Selo
Universidade do Porto,Faculdade de Ciências,Engenharia Geoespacial,Licenciatura - 1º ciclo,,3 anos / 180 ECTS,2025,23,,,2024,"113,3","122,0",,,2025,,07 Física e Química 19 Matemática A,2025,100,95,2025,50%,50%,,"A licenciatura em Engenharia Geoespacial proporciona-te uma sólida formação nas ciências fundamentais e na informática com áreas tecnológicas específicas, tais como a deteção remota, o posicionamento por satélite e os sistemas de informação geográfica (SIG). Nas unidades curriculares da especialidade vais ainda contactar com as mais recentes tecnologias de aquisição de informação georreferenciada, utilizando plataformas espaciais, aéreas, terrestres e marinhas.","O diploma em Engenharia Geoespacial habilita-te a adesempenhar tarefas no setor privado, na administração pública, em instituições europeias ou na investigação científica em diferente áreas: posicionamento e navegação por satélite;
processamento e análise de dados de deteção remota; estudo do oceano costeiro e profundo; cadastro; tratamento e disponibilização de informação em ambiente web; exploração e análise de informação geoespacial; aquisição de informação geoespacial com recurso a veículos terrestres, marinhos e aéreos não tripulados (VANTs); e desenvolvimento de aplicações SIG, entre outras.",,0,0,
Universidade do Porto,Faculdade de Ciências,Física,Licenciatura - 1º ciclo,,3 anos / 180 ECTS,2025,45,,,2024,"125,0","115,3",,,2025,,07 Física e Química 19 Matemática A,2025,100,95,2025,50%,50%,,"A licenciatura em Física desafia-te a descobrir as leis que determinam o funcionamento do mundo. Para isso, combina reflexão e intuição, matemática avançada, computação e envolvência experimental, que te ajudarão a compreender (e a dar a compreender) os diferentes fenómenos naturais e a utilizar os sistemas e processos tecnológicos que suportam essas leis. Abre-te ainda as portas para uma formação pós-graduada em áreas como a Astronomia, a Engenharia Física e a Física Médica, entre muitas outras.","O diploma em Física habilita-te a exercer funções de investigação, docência, professor e consultoria em áreas variadas, desde a indústria ao ambiente empresarial, incluindo a banca e os seguros. Poderás ainda ocupar cargos técnicos de nível intermédio (laboratórios do Estado, escolas, controlo de qualidade, serviços/departamentos de Física Médica em hospitais e clínicas, empresas de equipamento médico, serviços financeiros, seguradoras, indústrias e tecnologia de informação).",,0,0,
Universidade do Porto,Faculdade de Ciências,Geologia,Licenciatura - 1º ciclo,,3 anos / 180 ECTS,2025,33,,,2024,"131,5","129,0",,,2025,Um dos seguintes conjuntos:,02 Biologia e Geologia 07 Física e Química ou 02 Biologia e Geologia 19 Matemática A ou 02 Biologia e Geologia 09 Geografia,2025,100,95,2025,50%,50%,,"A licenciatura em Geologia garante-te uma formação ampla e diversificada, indispensável ao exercício de cargos técnicos em setores ligados à prospeção, exploração e gestão de recursos geológicos, hidrogeológicos e energéticos; apoio técnico em empresas de construção de estradas e barragens e em projetos de fundação de estruturas; orientação técnica de explorações mineiras; identificação de riscos de catástrofes naturais; e avaliação e mitigação de impactos ambientais.","Empresas de prospeção e/ou de desenvolvimento mineiro e captação de água; empresas de projeto e de consultoria de Geotecnia; investigação e docência em Instituições de Ensino Superior; investigação em instituições de investigação científica e técnica; ensino, divulgação e valorização do Património Geológico; autarquias e empresas de desenvolvimento e planeamento regional.
",,0,0,
Universidade do Porto,Faculdade de Ciências,Inteligência Artificial e Ciência de Dados,Licenciatura - 1º ciclo,,3 anos / 180 ECTS,2025,65,,,2024,"187,5","191,0",,,2025,Um dos seguintes conjuntos:,07 Física e Química 19 Matemática A ou 19 Matemática A 18 Português,2025,100,95,2025,50%,50%,,"A inovadora licenciatura em Inteligência Artificial e Ciência de Dados tem como objetivo formar profissionais altamente qualificados numa das áreas mais dinâmicas e promissoras da atualidade. Assente numa formação sólida em Ciência de Computadores / Engenharia Informática e Matemática, o curso permite-te desenvolver competências em programação, algoritmia, estatística, métodos numéricos, otimização, aprendizagem computacional, processamento de imagem e de língua natural, robótica e sistemas inteligentes, segurança e privacidade.",Cientista de dados em empresa ou em laboratório de investigação; especialista em aprendizagem computacional (Machine Learning); analista de dados; especialista em Inteligência Artificial com ênfase em Ciência de Dados; programador especializado em Inteligência Artificial e Ciência de Dados; outras funções e carreiras de especialista na área da Ciência de Computadores. ,,0,0,https://testes.local/wp-content/uploads/2024/04/jovemsteam-1.jpg
Universidade do Porto,Faculdade de Ciências,Matemática,Licenciatura - 1º ciclo,,3 anos / 180 ECTS,2025,56,,,2024,"166,5","162,0",,,2025,Um dos seguintes conjuntos:,02 Biologia e Geologia 19 Matemática A ou 07 Física e Química 19 Matemática A ou 19 Matemática A 18 Português,2025,100,95,2025,50%,50%,,"Números e fórmulas são a tua praia? Neste curso encontrarás uma sólida e ampla formação básica, que te garantirá os conhecimentos fundamentais nas áreas principais da Matemática e o contacto com as suas aplicações. Como ""bónus"", podes personalizar parte do percurso académico de acordo com as tuas orientações vocacionais e expectativas profissionais, usufruindo da multidisciplinaridade do conhecimento na FCUP em ciências exatas e naturais, ciência de computadores e aplicações à tecnologia.","Diversos setores da indústria, serviços, tecnologia, atividades financeiras ligadas à banca e seguros, telecomunicações e transportes, exercendo funções em áreas variadas como a modelação matemática, a análise estatística, a análise de dados e o desenvolvimento de algoritmos e de software informático. O curso pode ainda abrir portas à frequência de ciclos de pós graduação (mestrados e/ou doutoramentos) em Matemática fundamental ou aplicada, e áreas afins, como as Ciências, a Engenharia, a Economia, a Gestão e a Informática, entre outras.",,0,0,
Universidade do Porto,Faculdade de Ciências,Matemática Aplicada,Licenciatura - 1º ciclo,,3 anos / 180 ECTS,2025,60,,,2024,"162,5","160,0",,,2025,Um dos seguintes conjuntos:,02 Biologia e Geologia 19 Matemática A ou 07 Física e Química 19 Matemática A ou 19 Matemática A 18 Português,2025,100,95,2025,50%,50%,,"Se gostas de Matemática, este curso da U.Porto dá-te a possibilidade de aplicar o papel transformador desta disciplina na resposta a alguns dos maiores desafios da sociedade atual. Partindo de uma forte formação matemática, serás capaz de modelar, simular e/ou apoiar argumentos ou decisões na resolução de problemas da ciência, da indústria ou dos serviços. Esta é também uma excelente porta para o mercado de trabalho, tendo em conta o crescente interesse de variadas entidades empregadoras por formações em Matemática Aplicada.","Empresas de consultadoria financeira e de serviços atuariais; indústria (aeroespacial, biotecnologia, energia. engenharia, farmacêutica, etc.); instituições públicas; e institutos de investigação nas áreas das Ciências da Saúde, Ciências Naturais, Engenharia e Matemática.
",,0,0,https://testes.local/wp-content/uploads/2024/04/jovemsteam-1.jpg
Universidade do Porto,Faculdade de Ciências,Química,Licenciatura - 1º ciclo,,3 anos / 180 ECTS,2025,40,,,2024,"127,3","117,5",,,2025,,07 Física e Química 19 Matemática A,2025,100,95,2025,50%,50%,,"Desperta o Einstein ou a Marie Curie que há em ti! No curso de Química, damos-te as ferramentas de que necessitas para aplicar em contextos tão diversos como o desenvolvimento de produto e a produção industrial; a integração em equipas de projeto e/ou de I&D nas áreas de Química, Engenharia Química, Ciência e Engenharia de Materiais, Ciências Farmacêuticas, Biotecnologia, ciências alimentares, controlo de qualidade e ambiental, saúde ou energia; e na comercialização, demonstração e apoio técnico de equipamento industrial. E por que não seguires uma carreira de docência nos ensinos básico, secundário ou superior?","Laboratórios de apoio à indústria; laboratórios do Estado; laboratórios de controlo de qualidade; empresas de comercialização de produtos e equipamentos; escolas e universidades. Áreas de atuação: indústria e setor alimentares; investigação científica e desenvolvimento tecnológico; investigação policial e criminal; indústria têxtil e calçado; setor comercial e apoio técnico em equipamentos; ciência e engenharia de novos materiais; sustentabilidade ambiental; indústria petroquímica e energia; biotecnologia; consultoria, gestão industrial e empresarial; ensino (mediante estudos complementares).",,0,0,
Universidade do Porto,Faculdade de Ciências da Nutrição e da Alimentação,Ciências da Nutrição,Licenciatura - 1º ciclo,,4 anos / 240 ECTS,2025,65,,,2024,"148,0","142,3",,,2025,,02 Biologia e Geologia 07 Física e Química,2025,120,120,2025,50%,50%,,"A licenciatura em Ciências da Nutrição da FCNAUP é um dos primeiros e, ainda hoje, um dos únicos cursos em Portugal orientados para a formação de futuros nutricionistas. Se é esse o teu objetivo, encontrarás aqui uma formação abrangente, com forte teor prático, que engloba o estudo e a investigação em matérias relacionadas com os alimentos e nutrientes, mas também nos domínios da fisiologia e anatomia humana, biologia celular e molecular, química orgânica, imunologia, genética e saúde pública, entre outros.","O diploma em Ciências da Nutrição habilita ao exercício da profissão de nutricionista nas áreas da saúde pública, nutrição clínica, alimentação coletiva, desporto, indústria agroalimentar, investigação e ensino, trabalhando,
entre outros, em hospitais, centros de saúde, empresas, centros desportivos, farmácias, autarquias e instituições de ensino, tanto no setor público como no privado.",,0,0,
Universidade do Porto,Faculdade de Desporto,Ciências do Desporto,Licenciatura - 1º ciclo,,3 anos / 180 ECTS,2025,123,,,2024,"151,0","165,0",,,2025,Duas das seguintes provas:,02 Biologia e Geologia 17 Mat. Apl. Ciências Soc. 18 Português,2025,100,100,2025,50%,50%,"Grupo C - Aptidão funcional, física e desportiva","Sabias que a licenciatura em Ciências de Desporto da FADEUP é uma das melhores do mundo, segundo os mais conceituados ranking internacionais? E não é por acaso. Ao longo do curso, vais “descobrir” o Desporto na pluralidade das suas formas e perspetivas, com atividades direcionadas para a excelência desportiva, saúde, recreação, reabilitação, performance e transcendência da condição humana. Os ramos de especialização incluem: Treino Desportivo; Desporto e Populações Especiais; Exercício e Saúde; e Gestão Desportiva.","Acesso ao 2.º ciclo em Ensino de Educação Física nos Ensinos Básico e Secundário para a lecionação das disciplinas de Educação Física e outras; treino desportivo; atividade física, lazer, recreação, bem-estar das populações em geral e aconselhamento de estilos de vida ativos e saudáveis; intervenção em populações com necessidades educativas especiais; e gestão desportiva.",,0,0,
Universidade do Porto,Faculdade de Direito,Criminologia,Licenciatura - 1º ciclo,,4 anos / 240 ECTS,2025,46,,,2024,"174,4","175,2",,,2025,Um dos seguintes conjuntos:,02 Biologia e Geologia 18 Português ou 11 História 18 Português ou 19 Matemática A 18 Português,2025,120,120,2025,50%,50%,,"Neste curso pioneiro em Portugal, damos-te a oportunidade de estudar a fundo o fenómeno criminal. Articulando conhecimentos de diferentes áreas científicas - Direito, Ciências do Comportamento, Estatística, Ciências Forense, entre outras - e respetivos métodos, o curso de Criminologia dá-te as ferramentas para desempenhares atividades ligadas à análise criminológica, planeamento de políticas criminais, conceção e execução de programas de prevenção, intervenção comunitária, mediação, consultadoria em diversas áreas, conceção de políticas sociais e penais, investigação científica e ensino.","Forças policiais, sistema prisional, serviços de reinserção social e execução de medidas e penas, centros educativos para menores delinquentes, centros de acolhimento para crianças e jovens e de assistência a vítimas, programas de prevenção em diferentes contextos (institucional, escolas, projetos comunitários) dirigidos à promoção de comportamentos pró-sociais de crianças e jovens, projetos de prevenção e tratamento da toxicodependência, de prevenção na área da criminalidade e da segurança, de investigação científica e ensino da criminologia.",,0,0,
